symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
c2611,DCE,2026-09-24 09:57:00,2173.0,2174.0,2173.0,2174.0,255.0,0.0,1178131.0
c2611,DCE,2026-09-24 09:58:00,2174.0,2174.0,2173.0,2173.0,784.0,0.0,1178073.0
c2611,DCE,2026-09-24 09:59:00,2173.0,2174.0,2173.0,2173.0,145.0,0.0,1178306.0
c2611,DCE,2026-09-24 10:00:00,2173.0,2174.0,2173.0,2173.0,323.0,0.0,1178240.0
c2611,DCE,2026-09-24 10:01:00,2173.0,2175.0,2173.0,2175.0,2215.0,0.0,1178253.0
c2611,DCE,2026-09-24 10:02:00,2175.0,2176.0,2175.0,2176.0,1374.0,0.0,1178072.0
c2611,DCE,2026-09-24 10:03:00,2176.0,2176.0,2175.0,2176.0,1120.0,0.0,1177466.0
c2611,DCE,2026-09-24 10:04:00,2176.0,2176.0,2175.0,2176.0,694.0,0.0,1177217.0
c2611,DCE,2026-09-24 10:05:00,2176.0,2177.0,2175.0,2176.0,1330.0,0.0,1176754.0
c2611,DCE,2026-09-24 10:06:00,2176.0,2177.0,2175.0,2176.0,811.0,0.0,1176894.0
