2026-09-24 12:55:26.380 | INFO | CTP | 行情服务器登录成功
2026-09-24 12:55:26.412 | INFO | CTP | 交易服务器登录成功
2026-09-24 12:55:26.600 | INFO | CTP | 结算信息确认成功
2026-09-24 12:55:33.334 | INFO | CTP | 合约信息查询成功
2026-09-24 12:55:33.407 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 12:57:01.731 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 12:57:01.846 | INFO | CTP | 行情服务器连接成功
2026-09-24 12:57:01.856 | INFO | CTP | 交易服务器连接成功
2026-09-24 12:57:01.906 | INFO | CTP | 行情服务器登录成功
2026-09-24 12:57:02.088 | INFO | CTP | 交易服务器授权验证成功
2026-09-24 12:57:02.124 | INFO | CTP | 交易服务器登录成功
2026-09-24 12:57:02.307 | INFO | CTP | 结算信息确认成功
2026-09-24 12:57:08.968 | INFO | CTP | 合约信息查询成功
2026-09-24 12:57:09.027 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 12:57:39.441 | INFO | CtaStrategy | wqk27开始执行初始化
2026-09-24 12:57:39.441 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 initialized ExecutionCore 2.3.1
2026-09-24 12:57:48.120 | INFO | MainEngine | 订阅行情 -> CTP：SubscribeRequest(symbol='c2611', exchange=<Exchange.DCE: 'DCE'>)
2026-09-24 12:57:48.120 | INFO | CtaStrategy | wqk27初始化完成
2026-09-24 12:58:43.947 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 12:58:44.042 | INFO | CTP | 行情服务器连接成功
2026-09-24 12:58:44.100 | INFO | CTP | 交易服务器连接成功
2026-09-24 12:58:44.100 | INFO | CTP | 行情服务器登录成功
2026-09-24 12:58:44.333 | INFO | CTP | 交易服务器授权验证成功
2026-09-24 12:58:44.361 | INFO | CTP | 交易服务器登录成功
2026-09-24 12:58:44.570 | INFO | CTP | 结算信息确认成功
2026-09-24 12:58:51.110 | INFO | CTP | 合约信息查询成功
2026-09-24 12:58:51.181 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 12:59:04.139 | INFO | CtaStrategy | wqk27开始执行初始化
2026-09-24 12:59:04.140 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 initialized ExecutionCore 2.3.1
2026-09-24 12:59:12.449 | INFO | MainEngine | 订阅行情 -> CTP：SubscribeRequest(symbol='c2611', exchange=<Exchange.DCE: 'DCE'>)
2026-09-24 12:59:12.449 | INFO | CtaStrategy | wqk27初始化完成
2026-09-24 12:59:14.106 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 启动
2026-09-24 12:59:14.109 | INFO | CtaStrategy | [wqk27]  成交账本已加载: C:\Users\Administrator\strategies\ledger\wqk27_c2611_DCE.sqlite (0 条)
2026-09-24 12:59:14.109 | INFO | CtaStrategy | [wqk27]  已订阅 EVENT_TIMER / EVENT_POSITION
2026-09-24 12:59:14.110 | INFO | CtaStrategy | [wqk27]  持仓同步开始：策略启动
2026-09-24 12:59:14.111 | INFO | CtaStrategy | [wqk27]  已向柜台查询委托，等待回报后再对账。
2026-09-24 12:59:14.111 | INFO | CtaStrategy | [wqk27]  持仓同步结束：system=SYNCING_ORDERS, reason=NONE, strategy_pos=0, account_pos=0, msg=持仓已同步 account_pos=0，开始同步活动订单
2026-09-24 12:59:14.111 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=23.248413508804333 +DI=9.721485002582027 -DI=4.370595035049926 candidate=NONE confirm=0/2 state=RANGE
2026-09-24 12:59:14.111 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=RANGE MA=BULL BB=NEUTRAL direction=BEAR Final=RANGE reason=ADX_RANGE
2026-09-24 12:59:14.321 | INFO | CtaStrategy | [wqk27]  柜台委托查询完成，按查询结果对账
2026-09-24 13:30:06.555 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=27.08843218015451 +DI=5.702082963558329 -DI=43.909184949974055 candidate=SHORT confirm=1/2 state=RANGE
2026-09-24 13:30:06.556 | INFO | CtaStrategy | [wqk27]  [V2.7 BB STATE] old=NEUTRAL new=EXPANSION percentile=100.00% bw=0.005164297138355924 release_count=2 direction=BEAR
2026-09-24 13:31:01.810 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=30.86254141420915 +DI=5.336346949810115 -DI=47.50525259216785 candidate=SHORT confirm=2/2 state=SHORT
2026-09-24 13:31:01.812 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=SHORT MA=BEAR BB=EXPANSION direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-24 13:36:01.590 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BEAR new=NEUTRAL fast=2177.6000 slow=2182.2000
